RequestID,UserID,RequestType,CSR_Description,CSR_Status,AssignedTo
1,1101,AccountUpdate,"Request to change account address",Open,"John Doe"
2,1102,PasswordReset,"Password reset request",Completed,"Jane Smith"
3,1103,NewAccount,"Request for new checking account",InProgress,"John Doe"
4,1104,LoanInquiry,"Inquiry about home loan options",Open,"Jane Smith"
5,1105,FraudAlert,"Report of possible fraudulent activity",InProgress,"John Doe"
6,1106,CardReplacement,"Request to replace lost credit card",Completed,"Jane Smith"
7,1107,AccountClosure,"Request to close account",Open,"John Doe"
8,1108,CreditLimitIncrease,"Request for credit limit increase",InProgress,"Jane Smith"
9,1109,DisputeTransaction,"Dispute of recent transaction",Open,"John Doe"
10,1110,AccountTransfer,"Request to transfer funds between accounts",Completed,"Jane Smith"
